,zip,population,city,county,state,latitude,longitude
0,72712,60096,Bentonville,Benton,AR,36.346567,-94.25628
1,72401,59098,Jonesboro,Craighead,AR,35.886344,-90.656774
2,72764,57561,Springdale,Washington,AR,36.175682,-94.060223
3,72034,50619,Conway,Faulkner,AR,35.049921,-92.486049
4,71913,47190,Hot Springs National Park,Garland,AR,34.449239,-93.094266
5,72701,45396,Fayetteville,Washington,AR,35.992387,-94.085584
6,72756,42830,Rogers,Benton,AR,36.32298,-93.975959
7,72758,42193,Rogers,Benton,AR,36.299665,-94.13721
8,72762,41669,Springdale,Washington,AR,36.18165,-94.23068
9,72450,39002,Paragould,Greene,AR,36.079546,-90.51644
10,72076,38784,Jacksonville,Pulaski,AR,34.916182,-92.141483
11,72023,37429,Cabot,Lonoke,AR,34.964267,-92.063652
12,71854,36811,Texarkana,Miller,AR,33.451415,-93.881829
13,72956,36726,Van Buren,Crawford,AR,35.466396,-94.350067
14,72143,35978,Searcy,White,AR,35.232983,-91.736474
15,72032,33940,Conway,Faulkner,AR,35.065559,-92.362675
16,72120,33296,Sherwood,Pulaski,AR,34.902043,-92.240819
17,72703,33223,Fayetteville,Washington,AR,36.118332,-94.043243
18,72209,31748,Little Rock,Pulaski,AR,34.676378,-92.345074
19,71603,30791,Pine Bluff,Jefferson,AR,34.121075,-92.088127
20,72204,30204,Little Rock,Pulaski,AR,34.717617,-92.358338
21,72015,30097,Benton,Saline,AR,34.485899,-92.585099
22,72601,29993,Harrison,Boone,AR,36.238028,-93.085992
23,71901,29965,Hot Springs National Park,Garland,AR,34.526453,-92.974072
24,72404,29937,Jonesboro,Craighead,AR,35.773862,-90.778838
25,71730,29320,El Dorado,Union,AR,33.198844,-92.627076
26,72653,28157,Mountain Home,Baxter,AR,36.342381,-92.38543
27,72704,26480,Fayetteville,Washington,AR,36.105647,-94.2965
28,72501,26011,Batesville,Independence,AR,35.791171,-91.653381
29,72903,25824,Fort Smith,Sebastian,AR,35.350978,-94.361247
30,72113,25792,Maumelle,Pulaski,AR,34.859561,-92.397622
31,72223,24848,Little Rock,Pulaski,AR,34.788983,-92.511587
32,72301,24311,West Memphis,Crittenden,AR,35.144685,-90.189236
33,72104,23308,Malvern,Hot Spring,AR,34.342042,-92.821803
34,72206,23228,Little Rock,Pulaski,AR,34.632811,-92.234961
35,72802,22751,Russellville,Pope,AR,35.31894,-93.081593
36,72761,22591,Siloam Springs,Benton,AR,36.168814,-94.454856
37,72211,22035,Little Rock,Pulaski,AR,34.750556,-92.417622
38,72904,21949,Fort Smith,Sebastian,AR,35.41334,-94.382352
39,72205,21946,Little Rock,Pulaski,AR,34.750326,-92.351206
40,72901,21718,Fort Smith,Sebastian,AR,35.366187,-94.416458
41,72118,21534,North Little Rock,Pulaski,AR,34.840468,-92.326035
42,72116,21459,North Little Rock,Pulaski,AR,34.800258,-92.245317
43,72315,21305,Blytheville,Mississippi,AR,35.902669,-89.903375
44,72801,19289,Russellville,Pope,AR,35.279126,-93.140877
45,71701,18626,Camden,Ouachita,AR,33.586463,-92.81969
46,72002,18352,Alexander,Pulaski,AR,34.660794,-92.527512
47,72335,18167,Forrest City,St. Francis,AR,34.994363,-90.745986
48,72058,17511,Greenbrier,Faulkner,AR,35.245918,-92.374199
49,71801,17268,Hope,Hempstead,AR,33.645886,-93.598921
50,71753,16958,Magnolia,Columbia,AR,33.225678,-93.184674
51,72022,16595,Bryant,Saline,AR,34.607458,-92.488544
52,72830,16080,Clarksville,Johnson,AR,35.509167,-93.515619
53,71909,16049,Hot Springs Village,Garland,AR,34.643688,-92.997552
54,72210,15981,Little Rock,Pulaski,AR,34.7139,-92.50845
55,71602,15642,White Hall,Jefferson,AR,34.266258,-92.145362
56,72715,15537,Bella Vista,Benton,AR,36.467146,-94.304915
57,72364,15536,Marion,Crittenden,AR,35.217536,-90.189224
58,71655,15445,Monticello,Drew,AR,33.639802,-91.749587
59,71923,15334,Arkadelphia,Clark,AR,34.085089,-93.04527
60,72117,14872,North Little Rock,Pulaski,AR,34.769847,-92.145446
61,72936,14279,Greenwood,Sebastian,AR,35.189721,-94.218511
62,71601,14119,Pine Bluff,Jefferson,AR,34.17938,-91.892483
63,72719,14115,Centerton,Benton,AR,36.367161,-94.295087
64,72921,13904,Alma,Crawford,AR,35.477101,-94.196225
65,72714,13858,Bella Vista,Benton,AR,36.46735,-94.222151
66,72103,13851,Mabelvale,Pulaski,AR,34.590486,-92.390045
67,72745,13761,Lowell,Benton,AR,36.246524,-94.102609
68,71953,13192,Mena,Polk,AR,34.608016,-94.197193
69,72455,13147,Pocahontas,Randolph,AR,36.319648,-91.029167
70,72908,13117,Fort Smith,Sebastian,AR,35.309004,-94.407401
71,72212,13016,Little Rock,Pulaski,AR,34.785888,-92.415028
72,72543,13011,Heber Springs,Cleburne,AR,35.450539,-91.987292
73,72396,12430,Wynne,Cross,AR,35.230088,-90.822532
74,72150,12421,Sheridan,Grant,AR,34.31334,-92.394058
75,72012,12172,Beebe,White,AR,35.094842,-91.907583
76,72227,12123,Little Rock,Pulaski,AR,34.775283,-92.374573
77,71635,11501,Crossett,Ashley,AR,33.131052,-91.996505
78,72110,11405,Morrilton,Conway,AR,35.156495,-92.781326
79,72086,11372,Lonoke,Lonoke,AR,34.807021,-91.907681
80,71832,11063,De Queen,Sevier,AR,34.036919,-94.351136
81,72114,11036,North Little Rock,Pulaski,AR,34.764902,-92.260348
82,72207,10809,Little Rock,Pulaski,AR,34.773531,-92.346499
83,72112,10782,Newport,Jackson,AR,35.580917,-91.229715
84,72616,10707,Berryville,Carroll,AR,36.329139,-93.551929
85,72834,10619,Dardanelle,Yell,AR,35.168824,-93.183821
86,72949,10613,Ozark,Franklin,AR,35.584277,-93.805165
87,72916,10181,Fort Smith,Sebastian,AR,35.260747,-94.390099
88,72753,9885,Prairie Grove,Washington,AR,35.933889,-94.331072
89,71852,9877,Nashville,Howard,AR,33.997681,-93.855553
90,72202,9778,Little Rock,Pulaski,AR,34.730566,-92.233004
91,72173,9686,Vilonia,Faulkner,AR,35.100101,-92.211144
92,72160,9608,Stuttgart,Arkansas,AR,34.427743,-91.528699
93,72740,9318,Huntsville,Madison,AR,36.104648,-93.655397
94,72734,9054,Gentry,Benton,AR,36.27025,-94.451058
95,72472,8744,Trumann,Poinsett,AR,35.596453,-90.534179
96,72730,8624,Farmington,Washington,AR,36.030477,-94.268676
97,72560,8574,Mountain View,Stone,AR,35.851011,-92.094066
98,72176,8549,Ward,Lonoke,AR,35.002357,-91.835241
99,71822,8320,Ashdown,Little River,AR,33.663095,-94.156267
100,72751,8296,Pea Ridge,Benton,AR,36.462735,-94.114406
101,72007,8259,Austin,Lonoke,AR,35.001903,-91.983177
102,71671,8246,Warren,Bradley,AR,33.601989,-92.096049
103,72927,8034,Booneville,Logan,AR,35.080054,-93.939867
104,72837,7837,Dover,Pope,AR,35.503672,-93.109424
105,72390,7744,West Helena,Phillips,AR,34.551045,-90.67941
106,72687,7737,Yellville,Marion,AR,36.262184,-92.706299
107,72736,7417,Gravette,Benton,AR,36.413616,-94.465023
108,72081,7409,Judsonia,White,AR,35.382007,-91.670425
109,72370,7302,Osceola,Mississippi,AR,35.71448,-90.027718
110,72432,7115,Harrisburg,Poinsett,AR,35.55269,-90.720042
111,72031,7089,Clinton,Van Buren,AR,35.633661,-92.531647
112,72638,7073,Green Forest,Carroll,AR,36.322765,-93.404544
113,72958,6762,Waldron,Scott,AR,34.903819,-94.137036
114,72476,6658,Walnut Ridge,Lawrence,AR,36.049514,-90.919912
115,71667,6568,Star City,Lincoln,AR,33.924489,-91.837089
116,72727,6460,Elkins,Washington,AR,35.923747,-93.927682
117,72855,6319,Paris,Logan,AR,35.258968,-93.683862
118,72774,6298,West Fork,Washington,AR,35.948327,-94.147185
119,72010,6108,Bald Knob,White,AR,35.320195,-91.537618
120,72106,5987,Mayflower,Faulkner,AR,34.973989,-92.526078
121,72521,5952,Cave City,Sharp,AR,35.949672,-91.541118
122,71646,5915,Hamburg,Ashley,AR,33.235544,-91.787587
123,72823,5750,Atkins,Pope,AR,35.251217,-92.905571
124,71639,5633,Dumas,Desha,AR,33.901476,-91.520374
125,72360,5411,Marianna,Lee,AR,34.750302,-90.780771
126,71742,5373,Fordyce,Dallas,AR,33.852672,-92.448887
127,71665,5359,Rison,Cleveland,AR,33.930261,-92.109532
128,72744,5291,Lincoln,Washington,AR,35.96258,-94.435365
129,72417,5274,Brookland,Craighead,AR,35.916276,-90.539526
130,71644,5268,Grady,Lincoln,AR,34.098317,-91.704718
131,72065,5252,Hensley,Pulaski,AR,34.534625,-92.286376
132,72416,5233,Bono,Craighead,AR,35.963977,-90.795722
133,72042,5151,De Witt,Arkansas,AR,34.26058,-91.324459
134,72941,5124,Lavaca,Sebastian,AR,35.367917,-94.156308
135,72933,5114,Charleston,Franklin,AR,35.328642,-94.013024
136,72923,5023,Barling,Sebastian,AR,35.315588,-94.30877
137,72529,4912,Cherokee Village,Sharp,AR,36.291822,-91.564287
