zip,population,city,county,state
72712,60096,Bentonville,Benton,AR
72401,59098,Jonesboro,Craighead,AR
72764,57561,Springdale,Washington,AR
72034,50619,Conway,Faulkner,AR
71913,47190,Hot Springs National Park,Garland,AR
72701,45396,Fayetteville,Washington,AR
72756,42830,Rogers,Benton,AR
72758,42193,Rogers,Benton,AR
72762,41669,Springdale,Washington,AR
72450,39002,Paragould,Greene,AR
72076,38784,Jacksonville,Pulaski,AR
72023,37429,Cabot,Lonoke,AR
71854,36811,Texarkana,Miller,AR
72956,36726,Van Buren,Crawford,AR
72143,35978,Searcy,White,AR
72032,33940,Conway,Faulkner,AR
72120,33296,Sherwood,Pulaski,AR
72703,33223,Fayetteville,Washington,AR
72209,31748,Little Rock,Pulaski,AR
71603,30791,Pine Bluff,Jefferson,AR
72204,30204,Little Rock,Pulaski,AR
72015,30097,Benton,Saline,AR
72601,29993,Harrison,Boone,AR
71901,29965,Hot Springs National Park,Garland,AR
72404,29937,Jonesboro,Craighead,AR
71730,29320,El Dorado,Union,AR
72653,28157,Mountain Home,Baxter,AR
72704,26480,Fayetteville,Washington,AR
72501,26011,Batesville,Independence,AR
72903,25824,Fort Smith,Sebastian,AR
72113,25792,Maumelle,Pulaski,AR
72223,24848,Little Rock,Pulaski,AR
72301,24311,West Memphis,Crittenden,AR
72104,23308,Malvern,Hot Spring,AR
72206,23228,Little Rock,Pulaski,AR
72802,22751,Russellville,Pope,AR
72761,22591,Siloam Springs,Benton,AR
72211,22035,Little Rock,Pulaski,AR
72904,21949,Fort Smith,Sebastian,AR
72205,21946,Little Rock,Pulaski,AR
72901,21718,Fort Smith,Sebastian,AR
72118,21534,North Little Rock,Pulaski,AR
72116,21459,North Little Rock,Pulaski,AR
72315,21305,Blytheville,Mississippi,AR
72801,19289,Russellville,Pope,AR
71701,18626,Camden,Ouachita,AR
72002,18352,Alexander,Pulaski,AR
72335,18167,Forrest City,St. Francis,AR
72058,17511,Greenbrier,Faulkner,AR
71801,17268,Hope,Hempstead,AR
71753,16958,Magnolia,Columbia,AR
72022,16595,Bryant,Saline,AR
72830,16080,Clarksville,Johnson,AR
71909,16049,Hot Springs Village,Garland,AR
72210,15981,Little Rock,Pulaski,AR
71602,15642,White Hall,Jefferson,AR
72715,15537,Bella Vista,Benton,AR
72364,15536,Marion,Crittenden,AR
71655,15445,Monticello,Drew,AR
71923,15334,Arkadelphia,Clark,AR
72117,14872,North Little Rock,Pulaski,AR
72936,14279,Greenwood,Sebastian,AR
71601,14119,Pine Bluff,Jefferson,AR
