zip,population,city,county,state
77494,126310,Katy,Fort Bend,TX
77449,123157,Katy,Harris,TX
75034,116155,Frisco,Collin,TX
75070,109085,McKinney,Collin,TX
79936,108668,El Paso,El Paso,TX
77084,108161,Houston,Harris,TX
78660,101937,Pflugerville,Travis,TX
77479,95615,Sugar Land,Fort Bend,TX
77433,94345,Cypress,Harris,TX
75052,94060,Grand Prairie,Dallas,TX
77584,91993,Pearland,Brazoria,TX
77573,91454,League City,Galveston,TX
77429,90506,Cypress,Harris,TX
78521,89629,Brownsville,Cameron,TX
75217,86811,Dallas,Dallas,TX
78613,83876,Cedar Park,Williamson,TX
79938,83326,El Paso,El Paso,TX
77379,82493,Spring,Harris,TX
78666,81844,San Marcos,Hays,TX
78542,80837,Edinburg,Hidalgo,TX
75035,80269,Frisco,Collin,TX
78572,80135,Mission,Hidalgo,TX
79912,79861,El Paso,El Paso,TX
78130,79786,New Braunfels,Comal,TX
76244,78815,Keller,Tarrant,TX
78577,78731,Pharr,Hidalgo,TX
78641,78568,Leander,Williamson,TX
77083,78240,Houston,Harris,TX
75211,77920,Dallas,Dallas,TX
77459,76662,Missouri City,Fort Bend,TX
76063,76609,Mansfield,Tarrant,TX
78245,76392,San Antonio,Bexar,TX
77450,75752,Katy,Harris,TX
75228,75303,Dallas,Dallas,TX
77095,73956,Houston,Harris,TX
75002,73916,Allen,Collin,TX
76028,72493,Burleson,Johnson,TX
78046,71726,Laredo,Webb,TX
75068,69656,Little Elm,Denton,TX
77036,69154,Houston,Harris,TX
76179,69066,Fort Worth,Tarrant,TX
78596,68984,Weslaco,Hidalgo,TX
77845,68757,College Station,Brazos,TX
75243,68253,Dallas,Dallas,TX
78045,67981,Laredo,Webb,TX
75067,67197,Lewisville,Denton,TX
78251,65885,San Antonio,Bexar,TX
77072,65015,Houston,Harris,TX
77346,63772,Humble,Harris,TX
78664,63661,Round Rock,Williamson,TX
78745,63287,Austin,Travis,TX
78574,62972,Mission,Hidalgo,TX
78250,62951,San Antonio,Bexar,TX
75071,62769,Mc Kinney,Collin,TX
75043,62721,Garland,Dallas,TX
77373,62350,Spring,Harris,TX
79928,62344,El Paso,El Paso,TX
77396,62309,Humble,Harris,TX
78640,61991,Kyle,Hays,TX
78240,61937,San Antonio,Bexar,TX
77077,61908,Houston,Harris,TX
75150,61863,Mesquite,Dallas,TX
78249,61712,San Antonio,Bexar,TX
75040,61508,Garland,Dallas,TX
78228,61441,San Antonio,Bexar,TX
77407,61382,Richmond,Fort Bend,TX
78504,61182,Mcallen,Hidalgo,TX
78254,61141,San Antonio,Bexar,TX
77521,60703,Baytown,Harris,TX
75227,60632,Dallas,Dallas,TX
78501,60299,Mcallen,Hidalgo,TX
77386,60252,Spring,Montgomery,TX
77375,60115,Tomball,Harris,TX
78753,60035,Austin,Travis,TX
76137,59983,Fort Worth,Tarrant,TX
79924,59816,El Paso,El Paso,TX
77840,59700,College Station,Brazos,TX
75056,59674,The Colony,Denton,TX
76010,59526,Arlington,Tarrant,TX
78520,59388,Brownsville,Cameron,TX
78586,59360,San Benito,Cameron,TX
78681,58983,Round Rock,Williamson,TX
75098,58717,Wylie,Collin,TX
75149,57758,Mesquite,Dallas,TX
78207,57700,San Antonio,Bexar,TX
77406,57622,Richmond,Fort Bend,TX
77015,57553,Houston,Harris,TX
75007,57513,Carrollton,Denton,TX
77088,57177,Houston,Harris,TX
78852,57160,Eagle Pass,Maverick,TX
77469,57011,Richmond,Fort Bend,TX
78223,56484,San Antonio,Bexar,TX
77070,56260,Houston,Harris,TX
77089,55410,Houston,Harris,TX
75287,55060,Dallas,Dallas,TX
75025,54653,Plano,Collin,TX
75216,54253,Dallas,Dallas,TX
76051,54130,Grapevine,Tarrant,TX
