zip,population,city,county,state
30044,93987,Lawrenceville,Gwinnett,GA
30043,88276,Lawrenceville,Gwinnett,GA
30024,80598,Suwanee,Gwinnett,GA
30349,75647,Atlanta,Fulton,GA
30040,72858,Cumming,Forsyth,GA
30041,71750,Cumming,Forsyth,GA
30127,71709,Powder Springs,Cobb,GA
30281,70098,Stockbridge,Henry,GA
30052,69518,Loganville,Gwinnett,GA
30022,69135,Alpharetta,Fulton,GA
30047,68700,Lilburn,Gwinnett,GA
30096,68570,Duluth,Gwinnett,GA
30135,67853,Douglasville,Douglas,GA
30004,66538,Alpharetta,Fulton,GA
30331,65996,Atlanta,Fulton,GA
30062,63906,Marietta,Cobb,GA
30188,63869,Woodstock,Cherokee,GA
30058,61247,Lithonia,Dekalb,GA
30263,60769,Newnan,Coweta,GA
30906,60200,Augusta,Richmond,GA
30083,59798,Stone Mountain,Dekalb,GA
30144,59085,Kennesaw,Cobb,GA
30101,58844,Acworth,Cobb,GA
30080,58806,Smyrna,Cobb,GA
31907,58615,Columbus,Muscogee,GA
31419,58483,Savannah,Chatham,GA
30066,57953,Marietta,Cobb,GA
30253,57889,Mcdonough,Henry,GA
30318,57136,Atlanta,Fulton,GA
31088,57063,Warner Robins,Houston,GA
30114,57013,Canton,Cherokee,GA
30016,56934,Covington,Newton,GA
30075,55945,Roswell,Fulton,GA
30518,54832,Buford,Gwinnett,GA
30093,53896,Norcross,Gwinnett,GA
30236,53224,Jonesboro,Clayton,GA
30721,52658,Dalton,Whitfield,GA
30907,51428,Augusta,Richmond,GA
30809,50288,Evans,Columbia,GA
30519,49986,Buford,Gwinnett,GA
30064,49849,Marietta,Cobb,GA
30157,48446,Dallas,Paulding,GA
30019,48443,Dacula,Gwinnett,GA
30458,47890,Statesboro,Bulloch,GA
30132,47378,Dallas,Paulding,GA
30032,47267,Decatur,Dekalb,GA
30252,47005,Mcdonough,Henry,GA
30076,46739,Roswell,Fulton,GA
30039,46640,Snellville,Gwinnett,GA
30067,46482,Marietta,Cobb,GA
30045,46088,Lawrenceville,Gwinnett,GA
30034,45968,Decatur,Dekalb,GA
30097,45894,Duluth,Gwinnett,GA
30680,45852,Winder,Barrow,GA
30606,45698,Athens,Clarke,GA
30813,45485,Grovetown,Columbia,GA
30319,45135,Atlanta,Dekalb,GA
30115,44811,Canton,Cherokee,GA
30152,44115,Kennesaw,Cobb,GA
30506,43974,Gainesville,Hall,GA
30228,43753,Hampton,Henry,GA
30736,43639,Ringgold,Catoosa,GA
30134,43504,Douglasville,Douglas,GA
30126,42794,Mableton,Cobb,GA
31061,42625,Milledgeville,Baldwin,GA
30102,42232,Acworth,Cobb,GA
30701,42050,Calhoun,Gordon,GA
30815,41590,Hephzibah,Richmond,GA
30605,41388,Athens,Clarke,GA
31313,41378,Hinesville,Liberty,GA
30294,41096,Ellenwood,Clayton,GA
30909,40595,Augusta,Richmond,GA
30165,40349,Rome,Floyd,GA
30005,40213,Alpharetta,Fulton,GA
30060,40055,Marietta,Cobb,GA
30120,40008,Cartersville,Bartow,GA
30038,39543,Lithonia,Dekalb,GA
30189,39522,Woodstock,Cherokee,GA
30014,39352,Covington,Newton,GA
30238,39310,Jonesboro,Clayton,GA
30350,38785,Atlanta,Dekalb,GA
30328,38685,Atlanta,Fulton,GA
31909,38486,Columbus,Muscogee,GA
30078,38472,Snellville,Gwinnett,GA
30087,38304,Stone Mountain,Dekalb,GA
30180,38203,Villa Rica,Carroll,GA
30213,37948,Fairburn,Fulton,GA
31405,37929,Savannah,Chatham,GA
30046,37919,Lawrenceville,Gwinnett,GA
30084,37354,Tucker,Dekalb,GA
30092,37025,Norcross,Gwinnett,GA
30215,36953,Fayetteville,Fayette,GA
30223,36797,Griffin,Spalding,GA
30269,36578,Peachtree City,Fayette,GA
30542,36450,Flowery Branch,Hall,GA
30315,36296,Atlanta,Fulton,GA
31602,35916,Valdosta,Lowndes,GA
30338,35680,Atlanta,Fulton,GA
30311,35523,Atlanta,Fulton,GA
30161,35344,Rome,Floyd,GA
30117,35097,Carrollton,Carroll,GA
31406,35073,Savannah,Chatham,GA
